EstablecimientoCodigo;EstablecimientoGlosa;EstablecimientoCodigoAntiguo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion
133703;Centro Comunitario de Salud Familiar Carlina Paillacar;33-703;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;No Aplica;Municipal;Primario;10210;Quinchao;Calle;;Sector Apiao, Isla de Apiao;;;NO;No Aplica;No Aplica;-42.5976;-73.21151;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133554;Posta de Salud Rural Curaco de Vilupulli;33-554;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10203;Chonchi;Calle;;Sector Vilupulli;967621303;;NO;No Aplica;No Aplica;-42.59437;-73.86074;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133470;Posta de Salud Rural Chelín;33-470;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10201;Castro;Calle;;Sector Chelín;975591357;;NO;No Aplica;No Aplica;-42.58519;-73.51912;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133475;Posta de Salud Rural Aldachildo;33-475;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10206;Puqueldón;Calle;;Caserío de Aldachildo;;;NO;No Aplica;No Aplica;-42.58297;-73.61163;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
124550;Posta de Salud Rural Casa de Pesca;24-550;;;10;Región de Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10401;Chaitén;Calle;;Sector Casa de Pesca;;;NO;No Aplica;No Aplica;-42.56428;-72.82447;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133466;Posta de Salud Rural Curahue;33-466;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10201;Castro;Calle;;Sector Curahue;962390407;;NO;No Aplica;No Aplica;-42.54984;-73.68143;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133484;Posta de Salud Rural Rauco;33-484;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10203;Chonchi;Calle;;Sector Rauco;967621305;;NO;No Aplica;No Aplica;-42.54645;-73.79598;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133503;Posta de Salud Rural Quinchao;33-503;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10210;Quinchao;Calle;;Sector Quinchao;;;NO;No Aplica;No Aplica;-42.53985;-73.42386;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133555;Posta de Salud Rural Nalhuitad;33-555;;;10;Región de Los Lagos;33;Servicio de Salud Chiloé;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10203;Chonchi;Calle;;Sector Nalhuitad;967621304;;NO;No Aplica;No Aplica;-42.52989;-73.84049;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
124530;Posta de Salud Rural Chumeldén;24-530;;;10;Región de Los Lagos;24;Servicio de Salud Del Reloncaví;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;10401;Chaitén;Calle;;Sector Chumeldén;;;NO;No Aplica;No Aplica;-42.52119;-72.81197;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
